d,TC
711,1.264614252
712,1.228546035
713,1.253353971
714,1.326264464
715,1.279137655
716,1.153089858
717,1.241950679
718,1.17718443
719,1.134394456
720,1.280760477
721,1.27864779
722,1.131810756
723,1.107270055
724,1.154439679
725,1.224458949
726,1.270423423
727,1.180265256
728,1.163144257
729,1.094765653
730,0.924304148
731,0.856963644
732,0.975681986
733,1.044404692
734,1.075418077
735,1.083660782
736,1.113410946
737,1.094333797
738,1.045320511
739,0.896283431
740,0.890752584
741,0.846807871
742,0.925355492
743,0.998306109
744,0.916837307
745,0.923826316
746,0.865815993
747,0.891972693
748,0.902388142
749,0.832917563
750,0.816125639
751,0.865313665
752,0.853661299
753,0.834331967
754,0.816919291
755,0.787720559
756,0.806271016
757,0.749163245
758,0.722170779
759,0.778152827
760,0.796138551
761,0.755067128
762,0.711150041
763,0.711044937
764,0.718016626
765,0.79030075
766,0.809571936
767,0.834193425
768,0.781216651
769,0.783794888
770,0.795652758
771,0.765774327
772,0.77418405
773,0.871544111
774,0.899079097
775,0.87388878
776,0.850741832
777,0.836199247
778,0.841762729
779,0.832534271
780,0.866368933
781,0.828802745
782,0.791946032
783,0.805975382
784,0.801024362
785,0.787935274
786,0.802593088
787,0.811633796
788,0.829878221
789,0.824098899
790,0.81001051
791,0.848070597
792,0.837524508
793,0.791884181
794,0.75095977
795,0.792911488
796,0.771211116
797,0.776749852
798,0.824967007
799,0.783906694
800,0.797566322
801,0.78147517
802,0.788164397
803,0.765213803
804,0.766349834
805,0.75457941
806,0.745806561
807,0.743165383
808,0.79753721
809,0.803423647
810,0.766193205
811,0.739104446
812,0.703274245
813,0.73281955
814,0.734200857
815,0.762056987
816,0.773019821
817,0.78676832
818,0.737900939
819,0.762406496
820,0.765842256
821,0.755359953
822,0.749498957
823,0.76707182
824,0.778683358
825,0.80865612
826,0.774913816
827,0.773625539
828,0.784168559
829,0.78920196
830,0.767327366
831,0.774456688
832,0.798529206
833,0.769438044
834,0.803008346
835,0.839353511
836,0.837350353
837,0.816887404
838,0.818009651
839,0.836292469
840,0.846535805
841,0.846738462
842,0.832746101
843,0.832567774
844,0.796825977
845,0.814799241
846,0.818706264
847,0.823149968
848,0.792340686
849,0.817001158
850,0.855751853
851,0.849616183
852,0.886129158
853,0.892483053
854,0.862271467
855,0.86459333
856,0.887256073
857,0.902573981
858,0.885932722
859,0.841615417
860,0.867552861
861,0.886248338
862,0.896377999
863,0.890660043
864,0.930684942
865,0.910581691
866,0.88778917
867,0.837059543
868,0.865436936
869,0.877692311
870,0.891112788
871,0.930177123
872,0.920278299
873,0.944643546
874,0.944375907
875,0.944166465
876,0.940034563
877,0.95530233
878,0.965163196
879,0.965492701
880,0.958318744
881,0.919247106
882,0.955269261
883,0.988164543
884,0.902192594
885,0.892626796
886,0.930794517
887,0.923082383
888,0.956367178
889,0.94056448
890,0.912135833
891,0.923174221
892,0.92153455
893,0.940677401
894,1.011359961
895,1.061411658
896,1.003864709
897,1.013917674
898,1.043107362
