"","ID","Date","Mass","Length","Loc"
"536",255,2001-07-29,215.6,109.9,"Perth Zoo"
"543",255,2002-07-24,233.2,112,"Perth Zoo"
"546",255,2003-08-19,245.9,114.2,"Perth Zoo"
"551",255,2004-08-30,251,115.1,"Perth Zoo"
"561",255,2006-07-23,265.3,117.1,"Perth Zoo"
"563",255,2006-07-28,265.3,117.1,"EB"
"565",255,2006-09-29,277,117,"EB"
"566",255,2010-09-14,268,122.4,"EB"
"567",256,1992-11-18,251,118.1,"EB"
"568",256,1992-11-18,251,118.1,"EB"
"571",256,1999-07-21,263.6,119,"EB"
"574",256,2000-06-05,271.2,119.4,"Perth Zoo"
"579",256,2002-08-04,285.8,120.1,"Perth Zoo"
"582",256,2003-07-17,278,120.6,"Perth Zoo"
"585",256,2004-07-20,285.8,120.7,"Perth Zoo"
"601",256,2006-07-23,299.9,121.3,"Perth Zoo"
"603",256,2006-07-28,299.9,121.3,"EB"
"605",256,2006-09-29,312.4,121.2,"EB"
"606",256,2006-10-28,331,121.3,"EB"
"607",256,2007-07-21,257,121.2,"EB"
"608",288,1993-10-19,15.76,43.1,"EB"
"609",288,2004-11-03,184.5,105.7,"EB"
"610",288,2010-10-08,220,113.6,"EB"
"611",289,1993-10-20,20.5,45.6,"EB"
"612",289,1994-10-26,34.3,55.6,"EB"
"613",289,1995-11-17,47.5,63.9,"EB"
"614",289,1996-11-26,71.5,73.8,"EB"
"615",289,1997-09-20,74,75,"EB"
"616",289,1998-11-11,100,83.6,"EB"
"617",289,1999-11-21,112,90.4,"EB"
"618",289,2000-07-05,105,90.4,"EB"
"619",289,2000-10-04,141,94.2,"EB"
"620",289,2001-11-14,146,97.7,"EB"
"621",289,2003-08-29,159,100.2,"EB"
"623",289,2004-06-13,164,103.7,"EB"
"624",341,1994-10-06,210,111.4,"EB"
"625",341,2000-10-23,348,126,"EB"
"632",341,2002-07-26,283.5,126.4,"Perth Zoo"
"635",341,2003-08-18,296,126.4,"Perth Zoo"
"638",341,2004-07-17,284.6,126.1,"Perth Zoo"
"649",341,2006-07-23,306,126.4,"Perth Zoo"
"651",341,2006-07-28,306,126.4,"EB"
"653",341,2006-09-29,328,126.4,"EB"
"654",341,2006-10-31,308,125.3,"EB"
"655",341,2007-07-21,281,126.5,"EB"
"656",341,2008-11-18,312,127.5,"EB"
"657",380,1995-05-26,235,120,"EB"
"658",380,1995-05-27,235,120,"EB"
"660",380,1998-07-24,251,119.6,"Perth Zoo"
"661",380,2000-07-09,246,119.7,"Perth Zoo"
"666",380,2002-07-16,261.5,120.2,"Perth Zoo"
"669",380,2003-07-18,266.6,120.8,"Perth Zoo"
"672",380,2004-07-20,272.2,120.9,"Perth Zoo"
"684",380,2006-07-23,275.8,121.6,"Perth Zoo"
"686",380,2006-07-28,275.8,121.6,"EB"
"688",380,2006-09-29,320,122.2,"EB"
"689",380,2006-10-28,320,121.1,"EB"
"690",380,2007-07-21,253,121.5,"EB"
"691",387,1995-12-22,205,109.6,"EB"
"692",387,1995-12-24,181.1,109.5,"EB"
"702",387,2000-06-05,202.4,110.9,"Perth Zoo"
"708",387,2002-08-12,233.1,112.4,"Perth Zoo"
"711",387,2003-07-27,247.9,114.5,"Perth Zoo"
"714",387,2004-07-27,254.1,116.2,"Perth Zoo"
"724",387,2006-07-23,272.8,119,"Perth Zoo"
"726",387,2006-07-28,272.8,119,"EB"
"728",508,1998-11-04,24,48.2,"EB"
"729",508,1999-11-21,38,60.4,"EB"
"731",508,2001-08-12,50.5,67,"EB"
"732",508,2003-11-10,94,82.2,"EB"
"733",508,2004-11-03,94,82.9,"EB"
"734",544,1999-04-19,6.3,28.2,"Perth Zoo"
"749",544,1999-07-21,19.4,43.3,"EB"
"750",544,1999-11-26,38.5,57.9,"EB"
"751",544,2000-11-04,61,68,"EB"
"752",544,2001-11-26,82,76.8,"EB"
"753",544,2003-11-19,118,87.4,"EB"
"754",544,2004-11-14,137,90.8,"EB"
"755",544,2005-05-28,129,91,"EB"
"756",544,2005-12-02,180,100.1,"EB"
"757",544,2006-07-02,175,100.4,"EB"
"758",550,1999-04-27,6.7,29,"Perth Zoo"
"772",550,1999-07-21,16.7,40.7,"EB"
